orderid,orderdate,ordertime,deliverytimeminutes,orderstatus,paymentmethod,customerid,customer_name,customer_city,restaurantid,restaurant_name,restaurant_city,cuisine,item_total_price,foodcost,deliveryfee,discount,couponcode,campaignname,gst,order_final_amount,customerrating,deliveryrating,foodrating,review,sentiment,temperature,rainfall,weathercondition
100016,2023-02-14,20:58:00,8,Delivered,Debit Card,3875.0,Vritti Ravi,Chennai,848.0,Tasty Diner,Coimbatore,Fast Food,,339.0,49.0,0.0,,,16.95,404.95,4.0,3.0,3.0,"Loved the taste, will order again.",Positive,12.4,10.1,Rainy
100017,2024-12-11,09:46:00,27,Delivered,Cash on Delivery,2561.0,Maya Anne,Bengaluru,221.0,Curry House,Guwahati,Seafood,,96.0,0.0,48.0,ZOMC4E2K,First Order Free Delivery,4.8,52.8,1.0,2.0,1.0,Very disappointed with the service.,Negative,18.1,6.8,Clear
100018,2023-04-30,19:01:00,32,Delivered,UPI,638.0,Advay Srivastava,New Delhi,325.0,Curry Treats,Kolkata,Desserts,,528.0,20.0,0.0,,,26.4,574.4,,,,,,,,
100020,2023-03-11,12:46:00,36,Delivered,Cash on Delivery,7581.0,Karan Tiwari,Patna,288.0,Golden Corner,Kolkata,Mughlai,,239.0,25.0,0.0,,,11.95,275.95,2.0,2.0,3.0,Delivery took way too long.,Negative,33.4,0.0,Cloudy
100021,2023-05-13,16:58:00,50,Delivered Late,Credit Card,10040.0,Manbir Biswas,Guwahati,753.0,Grand Point,Lucknow,Fast Food,,251.0,20.0,100.4,ZOMX4BZ5,Festive Feast,12.55,183.15,3.0,2.0,2.0,"Food was okay, nothing special.",Neutral,,,
100022,2024-03-27,12:59:00,39,Delivered,Net Banking,7931.0,Ethan Bail,Kolkata,583.0,Green Treats,Hyderabad,Fast Food,,317.0,20.0,0.0,,,15.85,352.85,4.0,4.0,3.0,,Positive,28.8,33.5,Cloudy
100022,2024-03-27,12:59:00,39,Delivered,Net Banking,7931.0,Ethan Bail,Kolkata,583.0,Green Treats,Hyderabad,Fast Food,,317.0,20.0,0.0,,,15.85,352.85,4.0,4.0,3.0,,Positive,32.3,8.6,Humid
100023,2024-07-06,21:51:00,33,Delivered,UPI,8823.0,Ekiya Solanki,Raipur,558.0,Tasty Cafe,Ludhiana,Fast Food,,434.0,49.0,43.4,ZOM56ERP,Late Night Cravings,21.7,461.3,5.0,4.0,5.0,Great food and fast delivery!,Positive,27.6,90.9,Rainy
100024,2023-12-07,13:22:00,38,Delivered,Wallet,1928.0,Krishna Kanda,Coimbatore,1186.0,Tasty Kitchen,Chandigarh,Italian,,762.0,0.0,0.0,,,38.1,800.1,,,,,,28.9,210.0,Clear
100027,2024-11-11,14:00:00,26,Delivered,Debit Card,10246.0,Omisha Mandal,Bengaluru,340.0,Green Diner,Chandigarh,Desserts,,658.0,49.0,0.0,,,32.9,739.9,2.0,1.0,2.0,Food arrived cold and late.,Negative,,,
100028,2024-01-31,19:27:00,44,Delivered,Debit Card,11963.0,Kevin Mistry,Guwahati,,,,,,384.0,20.0,0.0,,,19.2,423.2,3.0,4.0,4.0,Delivery was on time but food was mediocre.,Neutral,,,
100030,2024-08-04,23:47:00,81,Delivered Late,Net Banking,10418.0,Luke Hayer,Bhopal,981.0,The Point,Coimbatore,Street Food,,619.0,40.0,185.7,ZOMMNANR,Payday Delight,30.95,504.25,3.0,4.0,4.0,Delivery was on time but food was mediocre.,Neutral,40.4,0.0,Clear
100030,2024-08-04,23:47:00,81,Delivered Late,Net Banking,10418.0,Luke Hayer,Bhopal,981.0,The Point,Coimbatore,Street Food,,619.0,40.0,185.7,ZOMMNANR,Payday Delight,30.95,504.25,3.0,4.0,4.0,Delivery was on time but food was mediocre.,Neutral,25.0,32.8,Clear
100031,2023-03-31,17:41:00,41,Delivered,Cash on Delivery,623.0,Tanveer Thakur,Raipur,413.0,Royal Point,Indore,Healthy Food,,256.0,20.0,0.0,,,12.8,288.8,,,,,,35.2,7.5,Cloudy
100032,2023-03-07,21:49:00,20,Delivered,Cash on Delivery,9445.0,Yashoda Nori,Chennai,888.0,Blue Bites,Nashik,Healthy Food,,430.0,30.0,0.0,,,21.5,481.5,2.0,2.0,2.0,Quality was not up to the mark.,Negative,33.7,10.5,Humid
100033,2023-11-17,17:02:00,42,Delivered,Net Banking,4274.0,Aachal Prabhu,Visakhapatnam,179.0,The Point,Bhubaneswar,Desserts,,606.0,30.0,0.0,,,30.3,666.3,3.0,3.0,4.0,"Food was okay, nothing special.",Neutral,16.0,91.8,Clear
100038,2023-09-05,11:34:00,44,Delivered,Wallet,8442.0,Zarna Badami,Chandigarh,1057.0,Urban Point,Bhopal,Thai,,60.0,49.0,30.0,ZOMJKHB4,App Exclusive Deal,3.0,82.0,4.0,3.0,3.0,Packaging was excellent and food was hot.,Positive,26.7,0.0,Clear
100038,2023-09-05,11:34:00,44,Delivered,Wallet,8442.0,Zarna Badami,Chandigarh,1057.0,Urban Point,Bhopal,Thai,,60.0,49.0,30.0,ZOMJKHB4,App Exclusive Deal,3.0,82.0,4.0,3.0,3.0,Packaging was excellent and food was hot.,Positive,35.5,138.3,Clear
100038,2023-09-05,11:34:00,44,Delivered,Wallet,8442.0,Zarna Badami,Chandigarh,1057.0,Urban Point,Bhopal,Thai,,60.0,49.0,30.0,ZOMJKHB4,App Exclusive Deal,3.0,82.0,4.0,3.0,3.0,Packaging was excellent and food was hot.,Positive,26.2,205.5,Clear
100039,2023-10-06,18:08:00,32,Delivered,Credit Card,467.0,Chavvi Kannan,Mumbai,1106.0,Curry Cafe,Kolkata,South Indian,,315.0,40.0,0.0,,,15.75,370.75,3.0,4.0,2.0,,Neutral,24.1,1.4,Foggy
100041,2024-08-07,13:57:00,45,Delivered Late,Net Banking,4604.0,Isaiah Khosla,Ludhiana,436.0,Spicy Kitchen,Indore,Pizza,,580.0,49.0,116.0,ZOMH1BSF,Monsoon Munchies,29.0,542.0,,,,,,26.4,669.6,Foggy
100041,2024-08-07,13:57:00,45,Delivered Late,Net Banking,4604.0,Isaiah Khosla,Ludhiana,436.0,Spicy Kitchen,Indore,Pizza,,580.0,49.0,116.0,ZOMH1BSF,Monsoon Munchies,29.0,542.0,,,,,,26.3,0.0,Rainy
100043,2024-04-22,19:09:00,23,Delivered,UPI,11915.0,Aashi Merchant,Hyderabad,974.0,Curry Treats,Nashik,Desserts,,329.0,49.0,0.0,,,16.45,394.45,2.0,2.0,2.0,Wrong item delivered.,Negative,40.6,0.0,Clear
100043,2024-04-22,19:09:00,23,Delivered,UPI,11915.0,Aashi Merchant,Hyderabad,974.0,Curry Treats,Nashik,Desserts,,329.0,49.0,0.0,,,16.45,394.45,2.0,2.0,2.0,Wrong item delivered.,Negative,38.4,0.0,Rainy
100044,2024-11-16,14:21:00,21,Delivered,UPI,4547.0,Bhavani Jani,Ahmedabad,831.0,Spicy Diner,Jaipur,Bakery,,262.0,49.0,0.0,,,13.1,324.1,5.0,5.0,5.0,Great food and fast delivery!,Positive,,,
100045,2023-06-17,19:51:00,35,Delivered,Debit Card,1182.0,Krisha Mammen,New Delhi,1169.0,Curry Grill,Kolkata,Burgers,,713.0,30.0,0.0,,,35.65,778.65,5.0,5.0,4.0,Great food and fast delivery!,Positive,31.0,0.0,Clear
100046,2023-04-04,21:44:00,21,Delivered,Debit Card,2027.0,Krishna Sandhu,Visakhapatnam,316.0,Golden Hub,Bhubaneswar,North Indian,,564.0,20.0,112.8,ZOMSNVD3,Mega Cashback Week,28.2,499.4,4.0,5.0,3.0,Best biryani in town!,Positive,34.6,0.0,Rainy
100047,2024-03-16,11:08:00,45,Delivered,Net Banking,1157.0,Tanay Chatterjee,New Delhi,763.0,Golden Corner,Nagpur,Continental,,408.0,49.0,163.2,ZOMVWX7M,Festive Feast,20.4,314.2,1.0,1.0,2.0,Order was incomplete.,Negative,35.3,0.5,Foggy
100047,2024-03-16,11:08:00,45,Delivered,Net Banking,1157.0,Tanay Chatterjee,New Delhi,763.0,Golden Corner,Nagpur,Continental,,408.0,49.0,163.2,ZOMVWX7M,Festive Feast,20.4,314.2,1.0,1.0,2.0,Order was incomplete.,Negative,30.4,13.2,Clear
100048,2024-04-26,23:37:00,44,Delivered,Wallet,2852.0,Wishi Patla,Bhopal,401.0,grand bites,Lucknow,BBQ,,326.0,30.0,0.0,,,16.3,372.3,3.0,3.0,2.0,Delivery was on time but food was mediocre.,Neutral,31.6,0.0,Foggy
100048,2024-04-26,23:37:00,44,Delivered,Wallet,2852.0,Wishi Patla,Bhopal,401.0,grand bites,Lucknow,BBQ,,326.0,30.0,0.0,,,16.3,372.3,3.0,3.0,2.0,Delivery was on time but food was mediocre.,Neutral,31.8,1.7,Rainy
100050,2023-04-15,10:22:00,30,Delivered,Credit Card,4891.0,Yochana Lalla,Delhi,943.0,Golden Grill,Pune,South Indian,,440.0,40.0,0.0,,,22.0,502.0,2.0,1.0,2.0,Food arrived cold and late.,Negative,,,
100051,2023-09-05,19:03:00,14,Delivered,Cash on Delivery,5048.0,Oviya Bassi,Lucknow,1001.0,Grand Point,Chennai,BBQ,,482.0,25.0,0.0,,,24.1,,4.0,4.0,3.0,"Loved the taste, will order again.",Positive,,,
100052,2024-09-24,16:47:00,59,Delivered,Cash on Delivery,11044.0,Mahika Raghavan,Delhi,330.0,Grand Corner,Hyderabad,Biryani,,493.0,40.0,0.0,,,24.65,557.65,,5.0,4.0,Great food and fast delivery!,Positive,21.1,0.0,Humid
100052,2024-09-24,16:47:00,59,Delivered,Cash on Delivery,11044.0,Mahika Raghavan,Delhi,330.0,Grand Corner,Hyderabad,Biryani,,493.0,40.0,0.0,,,24.65,557.65,,5.0,4.0,Great food and fast delivery!,Positive,26.1,0.0,Clear
100054,2024-10-27,13:05:00,15,Delivered,Net Banking,3263.0,Elijah Bhattacharyya,Ludhiana,,,,,,408.0,25.0,0.0,,,20.4,453.4,5.0,5.0,5.0,"Loved the taste, will order again.",Positive,,,
100055,2023-09-07,09:48:00,17,Delivered,Net Banking,5147.0,Dhriti Arora,Delhi,734.0,Grand Point,Ahmedabad,Mexican,,448.0,40.0,67.2,ZOM9RSYX,Late Night Cravings,22.4,443.2,5.0,5.0,4.0,"Loved the taste, will order again.",Positive,31.3,0.0,Clear
100055,2023-09-07,09:48:00,17,Delivered,Net Banking,5147.0,Dhriti Arora,Delhi,734.0,Grand Point,Ahmedabad,Mexican,,448.0,40.0,67.2,ZOM9RSYX,Late Night Cravings,22.4,443.2,5.0,5.0,4.0,"Loved the taste, will order again.",Positive,33.5,122.7,Clear
100056,2023-07-21,18:22:00,46,Delivered,Debit Card,1768.0,Gayathri Peri,Raipur,376.0,Golden House,Nashik,Chinese,,311.0,20.0,0.0,,,15.55,346.55,3.0,2.0,4.0,Average experience.,Neutral,,,
100057,2023-03-10,10:13:00,39,Delivered,Debit Card,5211.0,Gaurika Khanna,Delhi,296.0,Golden Treats,Nashik,Pizza,,262.0,40.0,52.4,ZOMPD2W4,New User Special,13.1,262.7,3.0,2.0,4.0,"Food was okay, nothing special.",Neutral,37.6,6.7,Humid
100059,2024-10-10,13:32:00,30,Delivered,Net Banking,10138.0,Faqid Gokhale,Bengaluru,654.0,Spicy House,Pune,Sushi,,160.0,40.0,48.0,ZOMHEH0W,Late Night Cravings,8.0,160.0,2.0,2.0,2.0,Wrong item delivered.,Negative,22.2,0.0,Clear
100060,2024-05-06,19:04:00,13,Delivered,Credit Card,8834.0,jatin bala,Indore,660.0,Urban Kitchen,Lucknow,Fast Food,,693.0,30.0,0.0,,,34.65,757.65,1.0,2.0,2.0,Food arrived cold and late.,Negative,33.5,9.6,Cloudy
100066,2024-01-10,08:32:00,22,Delivered,Wallet,7808.0,Chameli Sood,Ludhiana,514.0,Green Point,Chennai,Healthy Food,,220.0,0.0,0.0,,,11.0,231.0,5.0,5.0,4.0,Best biryani in town!,Positive,,,
100067,2024-10-29,20:23:00,37,Delivered,Wallet,10083.0,Amrita Mammen,Raipur,86.0,Spicy Grill,Delhi,North Indian,,258.0,30.0,0.0,,,12.9,300.9,2.0,1.0,2.0,Very disappointed with the service.,Negative,24.5,0.0,Rainy
100068,2023-02-16,10:21:00,76,Delivered Late,Wallet,2979.0,Balvan Barad,Chandigarh,1055.0,Royal Corner,Lucknow,Burgers,,501.0,40.0,0.0,,,25.05,566.05,5.0,4.0,5.0,"Loved the taste, will order again.",Positive,22.8,2.2,Stormy
100068,2023-02-16,10:21:00,76,Delivered Late,Wallet,2979.0,Balvan Barad,Chandigarh,1055.0,Royal Corner,Lucknow,Burgers,,501.0,40.0,0.0,,,25.05,566.05,5.0,4.0,5.0,"Loved the taste, will order again.",Positive,19.5,0.0,Cloudy
100069,2024-11-17,14:12:00,52,Delivered,Debit Card,1618.0,Timothy Contractor,Patna,107.0,Golden Kitchen,Vadodara,Seafood,,292.0,0.0,116.8,ZOMLKP3Q,Summer Splash,14.6,189.8,2.0,3.0,1.0,Order was incomplete.,Negative,,,
100072,2024-02-06,19:40:00,37,Delivered,UPI,1673.0,waida magar,Hyderabad,370.0,Spicy Cafe,Chandigarh,Biryani,,582.0,40.0,116.4,ZOMH1BSF,Monsoon Munchies,29.1,534.7,4.0,4.0,5.0,Packaging was excellent and food was hot.,Positive,,,
100073,2023-10-03,20:17:00,31,Delivered,Credit Card,10361.0,Prisha Bobal,Bhopal,238.0,Blue Bites,Indore,Seafood,,469.0,0.0,0.0,,,23.45,492.45,3.0,3.0,3.0,Delivery was on time but food was mediocre.,Neutral,34.3,1.1,Foggy
100074,2024-06-21,12:48:00,49,Delivered,Net Banking,8052.0,Agastya Mishra,Raipur,704.0,Urban Grill,Ludhiana,BBQ,,453.0,0.0,0.0,,,22.65,475.65,5.0,4.0,4.0,Packaging was excellent and food was hot.,Positive,,,
100075,2023-05-21,12:33:00,35,Delivered,Wallet,8357.0,Yashasvi Kale,Ludhiana,,,,,,341.0,25.0,0.0,,,17.05,383.05,,,,,,,,
100076,2023-10-06,17:24:00,72,Delivered Late,Wallet,11714.0,bhavani ram,Raipur,268.0,The House,Surat,Sushi,,420.0,25.0,168.0,ZOMU9ASQ,Summer Splash,21.0,298.0,3.0,2.0,4.0,Delivery was on time but food was mediocre.,Neutral,28.3,20.1,Clear
100077,2024-05-27,17:37:00,15,Delivered,UPI,6553.0,Saumya Narayan,Jaipur,817.0,Royal Diner,Pune,Healthy Food,,154.0,49.0,30.8,ZOMPD2W4,New User Special,7.7,179.9,2.0,3.0,3.0,Delivery took way too long.,Negative,,,
100079,2023-01-25,20:23:00,28,Delivered,Net Banking,2236.0,Eiravati Nagar,Patna,586.0,Blue Kitchen,Kochi,Italian,,468.0,0.0,46.8,ZOM8PC7U,Summer Splash,23.4,,3.0,3.0,2.0,Average experience.,Neutral,14.6,2.8,Clear
100080,2024-10-19,15:54:00,32,Delivered,Cash on Delivery,3005.0,isha bassi,Indore,761.0,Tasty House,Ahmedabad,Pizza,,600.0,30.0,0.0,,,30.0,660.0,4.0,5.0,4.0,Amazing experience overall.,Positive,27.1,25.5,Clear
100080,2024-10-19,15:54:00,32,Delivered,Cash on Delivery,3005.0,isha bassi,Indore,761.0,Tasty House,Ahmedabad,Pizza,,600.0,30.0,0.0,,,30.0,660.0,4.0,5.0,4.0,Amazing experience overall.,Positive,25.9,26.2,Clear
100081,2024-12-15,09:16:00,32,Delivered,Wallet,7749.0,EKIYA ARYA,Surat,201.0,Green Bites,Hyderabad,Desserts,,383.0,25.0,0.0,,,19.15,427.15,5.0,5.0,4.0,"Loved the taste, will order again.",Positive,17.0,0.0,Cloudy
100081,2024-12-15,09:16:00,32,Delivered,Wallet,7749.0,EKIYA ARYA,Surat,201.0,Green Bites,Hyderabad,Desserts,,383.0,25.0,0.0,,,19.15,427.15,5.0,5.0,4.0,"Loved the taste, will order again.",Positive,16.3,0.8,Stormy
100081,2024-12-15,09:16:00,32,Delivered,Wallet,7749.0,EKIYA ARYA,Surat,201.0,Green Bites,Hyderabad,Desserts,,383.0,25.0,0.0,,,19.15,427.15,5.0,5.0,4.0,"Loved the taste, will order again.",Positive,17.0,8.4,Clear
100082,2024-09-10,17:13:00,41,Delivered,Wallet,2893.0,Zaitra Tailor,Nashik,479.0,Urban Cafe,Mumbai,BBQ,,401.0,25.0,60.15,ZOM1GUJ8,Summer Splash,20.05,385.9,,,,,,20.7,59.4,Clear
100084,2024-11-19,21:03:00,23,Delivered,UPI,7750.0,Neha Sachdeva,Patna,54.0,Golden Cafe,Surat,South Indian,,623.0,49.0,0.0,,,31.15,703.15,4.0,5.0,4.0,"Loved the taste, will order again.",Positive,29.0,55.3,Clear
100085,2023-08-16,20:57:00,31,Delivered,Cash on Delivery,237.0,Ubika Balay,Chandigarh,,,,,,392.0,0.0,0.0,,,19.6,411.6,5.0,5.0,5.0,Delivery partner was very polite.,Positive,,,
100086,2023-04-15,12:05:00,33,Delivered,Credit Card,10553.0,Saanvi Badami,Pune,871.0, Tasty Grill  ,Indore,Healthy Food,,212.0,30.0,0.0,,,10.6,252.6,2.0,2.0,3.0,Wrong item delivered.,Negative,26.5,,Clear
100087,2023-07-03,12:51:00,61,Delivered Late,Debit Card,2747.0,Caleb Ghosh,Nagpur,379.0,Curry Kitchen,Visakhapatnam,North Indian,,261.0,40.0,0.0,,,13.05,314.05,,,,,,,,
100089,2024-12-30,20:51:00,27,Delivered,Credit Card,5309.0,Ekta Dave,Guwahati,903.0,Curry Bites,Delhi,Desserts,,429.0,20.0,0.0,,,21.45,470.45,3.0,3.0,2.0,,Neutral,20.8,0.0,Rainy
100089,2024-12-30,20:51:00,27,Delivered,Credit Card,5309.0,Ekta Dave,Guwahati,903.0,Curry Bites,Delhi,Desserts,,429.0,20.0,0.0,,,21.45,470.45,3.0,3.0,2.0,,Neutral,25.1,0.0,Stormy
100089,2024-12-30,20:51:00,27,Delivered,Credit Card,5309.0,Ekta Dave,Guwahati,903.0,Curry Bites,Delhi,Desserts,,429.0,20.0,0.0,,,21.45,470.45,3.0,3.0,2.0,,Neutral,16.5,0.0,Clear
100090,2024-08-29,14:01:00,35,Delivered,Net Banking,1364.0,Benjamin Bhakta,Surat,971.0,Urban Hub,Raipur,Street Food,,317.0,0.0,0.0,,,15.85,332.85,5.0,5.0,4.0,Amazing experience overall.,Positive,,,
100092,2023-01-23,15:58:00,30,Delivered,Wallet,6334.0,Aarnav Chakraborty,Nashik,275.0,Blue Point,Ludhiana,Desserts,,603.0,30.0,0.0,,,30.15,663.15,,,,,,,,
100093,2023-04-19,13:03:00,8,Delivered,Cash on Delivery,5598.0,Sachi Mutti,Jaipur,373.0,Urban Hub,Bhopal,Seafood,,292.0,49.0,0.0,,,14.6,355.6,4.0,5.0,4.0,Packaging was excellent and food was hot.,Positive,37.9,0.1,Cloudy
100093,2023-04-19,13:03:00,8,Delivered,Cash on Delivery,5598.0,Sachi Mutti,Jaipur,373.0,Urban Hub,Bhopal,Seafood,,292.0,49.0,0.0,,,14.6,355.6,4.0,5.0,4.0,Packaging was excellent and food was hot.,Positive,28.6,8.8,Clear
100093,2023-04-19,13:03:00,8,Delivered,Cash on Delivery,5598.0,Sachi Mutti,Jaipur,373.0,Urban Hub,Bhopal,Seafood,,292.0,49.0,0.0,,,14.6,355.6,4.0,5.0,4.0,Packaging was excellent and food was hot.,Positive,31.8,2.0,Humid
100094,2023-12-12,13:39:00,24,Delivered,Credit Card,10818.0,Zaitra Mittal,Delhi,254.0,Curry Grill,Pune,Healthy Food,,292.0,49.0,58.4,ZOMQ052J,Festive Feast,14.6,297.2,2.0,2.0,3.0,Food arrived cold and late.,Negative,14.3,0.9,Humid
100094,2023-12-12,13:39:00,24,Delivered,Credit Card,10818.0,Zaitra Mittal,Delhi,254.0,Curry Grill,Pune,Healthy Food,,292.0,49.0,58.4,ZOMQ052J,Festive Feast,14.6,297.2,2.0,2.0,3.0,Food arrived cold and late.,Negative,14.9,0.0,Humid
100098,2024-10-04,11:57:00,8,Delivered,Debit Card,5883.0,Oscar Nath,Pune,732.0,Spicy House,Delhi,BBQ,,411.0,40.0,123.3,ZOMHEH0W,Late Night Cravings,20.55,348.25,2.0,1.0,2.0,Order was incomplete.,Negative,,,
100099,2024-06-20,19:01:00,32,Delivered,Net Banking,5386.0,Yasti Venkataraman,Bhubaneswar,934.0,golden grill,Vadodara,Fast Food,,336.0,20.0,0.0,,,16.8,372.8,3.0,3.0,4.0,,Neutral,24.8,67.9,Clear
100099,2024-06-20,19:01:00,32,Delivered,Net Banking,5386.0,Yasti Venkataraman,Bhubaneswar,934.0,golden grill,Vadodara,Fast Food,,336.0,20.0,0.0,,,16.8,372.8,3.0,3.0,4.0,,Neutral,24.2,5.6,Clear
100099,2024-06-20,19:01:00,32,Delivered,Net Banking,5386.0,Yasti Venkataraman,Bhubaneswar,934.0,golden grill,Vadodara,Fast Food,,336.0,20.0,0.0,,,16.8,372.8,3.0,3.0,4.0,,Neutral,24.0,426.3,Clear
100099,2024-06-20,19:01:00,32,Delivered,Net Banking,5386.0,Yasti Venkataraman,Bhubaneswar,934.0,golden grill,Vadodara,Fast Food,,336.0,20.0,0.0,,,16.8,372.8,3.0,3.0,4.0,,Neutral,32.7,752.3,Clear
100101,2024-02-02,10:03:00,28,Delivered,Cash on Delivery,4530.0,Dhriti Gour,Kochi,786.0,The Hub,Mumbai,Mughlai,,492.0,0.0,0.0,,,24.6,516.6,2.0,3.0,2.0,Quality was not up to the mark.,Negative,22.2,8.3,Clear
100102,2024-02-15,03:23:00,40,Delivered,Net Banking,7247.0,Gaurangi Chaudhari,Pune,11.0,Urban Point,Jaipur,Bakery,,732.0,49.0,0.0,,,36.6,817.6,3.0,2.0,3.0,Delivery was on time but food was mediocre.,Neutral,21.7,2.3,Cloudy
100102,2024-02-15,03:23:00,40,Delivered,Net Banking,7247.0,Gaurangi Chaudhari,Pune,11.0,Urban Point,Jaipur,Bakery,,732.0,49.0,0.0,,,36.6,817.6,3.0,2.0,3.0,Delivery was on time but food was mediocre.,Neutral,23.2,4.6,Cloudy
100103,2024-08-02,16:19:00,31,Delivered,Wallet,4698.0,Aahana Vora,Pune,688.0,The Bites,Bhubaneswar,Continental,,378.0,20.0,0.0,,,18.9,416.9,2.0,3.0,2.0,,Negative,18.3,3.3,Foggy
100103,2024-08-02,16:19:00,31,Delivered,Wallet,4698.0,Aahana Vora,Pune,688.0,The Bites,Bhubaneswar,Continental,,378.0,20.0,0.0,,,18.9,416.9,2.0,3.0,2.0,,Negative,26.7,231.7,Humid
100104,2023-03-21,21:54:00,24,Delivered,Credit Card,4094.0,Zayyan Pant,Bhubaneswar,19.0,Green Cafe,Ahmedabad,Mughlai,,366.0,30.0,0.0,,,18.3,414.3,5.0,5.0,5.0,Packaging was excellent and food was hot.,Positive,,,
100106,2024-03-25,04:57:00,69,Delivered Late,Cash on Delivery,11400.0,Dakshesh Hayre,Nagpur,151.0,Royal Bites,Chennai,Italian,,472.0,0.0,0.0,,,23.6,495.6,5.0,5.0,5.0,Packaging was excellent and food was hot.,Positive,30.2,5.6,Cloudy
100107,2023-04-28,16:43:00,19,Delivered,Debit Card,2519.0,Hredhaan Ghosh,Delhi,851.0,Green Cafe,Visakhapatnam,Burgers,,336.0,20.0,0.0,,,16.8,372.8,5.0,4.0,5.0,Delivery partner was very polite.,Positive,31.0,32.3,Rainy
100109,2023-10-25,09:07:00,37,Delivered,Credit Card,11332.0,Brijesh Prabhakar,Indore,21.0,Tasty Treats,Bhopal,Mexican,,523.0,40.0,0.0,,,26.15,589.15,,,,,,27.5,,Clear
100110,2023-05-05,10:41:00,34,Delivered,Net Banking,8554.0,Onveer Boase,Surat,873.0,Grand Bites,Bengaluru,Desserts,,258.0,0.0,0.0,,,12.9,270.9,4.0,3.0,4.0,Amazing experience overall.,Positive,28.2,12.9,Cloudy
