"orderid","orderdate","ordertime","deliverytimeminutes","orderstatus","paymentmethod","customerid","customer_name","customer_city","restaurantid","restaurant_name","restaurant_city","cuisine","orderitemid","fooditemid","foodname","food_category","quantity","unitprice","item_total_price","foodcost","deliveryfee","discount","couponcode","campaignname","gst","order_final_amount","customerrating","deliveryrating","foodrating","review","sentiment","temperature","rainfall","weathercondition"
100014,"2023-10-03","12:16:00",19,"Delivered","Cash on Delivery",1811,"wyatt mann","Jaipur",208,"The Diner","Visakhapatnam","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,525.00,40.00,0.00,NULL,NULL,26.25,591.25,5,5,5,"Amazing experience overall.","Positive",37.90,1.60,"Rainy"
100015,"2024-11-05","16:49:00",25,"Delivered","Net Banking",7414,"Aarini Doctor","Surat",646,"Green Kitchen","Kolkata","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,357.00,25.00,142.80,"ZOM6ELGA","First Order Free Delivery",17.85,257.05,3,4,2,"Average experience.","Neutral",20.70,22.90,"Cloudy"
100016,"2023-02-14","20:58:00",8,"Delivered","Debit Card",3875,"Vritti Ravi","Chennai",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,339.00,49.00,0.00,NULL,NULL,16.95,404.95,4,3,3,"Loved the taste, will order again.","Positive",13.50,3.70,"Cloudy"
100016,"2023-02-14","20:58:00",8,"Delivered","Debit Card",3875,"Vritti Ravi","Chennai",848,"Tasty Diner","Coimbatore","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,339.00,49.00,0.00,NULL,NULL,16.95,404.95,4,3,3,"Loved the taste, will order again.","Positive",12.40,10.10,"Rainy"
100017,"2024-12-11","09:46:00",27,"Delivered","Cash on Delivery",2561,"Maya Anne","Bengaluru",221,"Curry House","Guwahati","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,96.00,0.00,48.00,"ZOMC4E2K","First Order Free Delivery",4.80,52.80,1,2,1,"Very disappointed with the service.","Negative",18.10,6.80,"Clear"
100018,"2023-04-30","19:01:00",32,"Delivered","UPI",638,"Advay Srivastava","New Delhi",325,"Curry Treats","Kolkata","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,528.00,20.00,0.00,NULL,NULL,26.40,574.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100019,"2024-08-24","12:09:00",40,"Cancelled","Net Banking",3128,"Balhaar Saraf","Coimbatore",943,"Golden Grill","Pune","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,380.00,49.00,0.00,NULL,NULL,19.00,448.00,NULL,NULL,NULL,NULL,NULL,26.00,NULL,"Rainy"
100020,"2023-03-11","12:46:00",36,"Delivered","Cash on Delivery",7581,"Karan Tiwari","Patna",288,"Golden Corner","Kolkata","Mughlai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,239.00,25.00,0.00,NULL,NULL,11.95,275.95,2,2,3,"Delivery took way too long.","Negative",33.40,0.00,"Cloudy"
100021,"2023-05-13","16:58:00",50,"Delivered Late","Credit Card",10040,"Manbir Biswas","Guwahati",753,"Grand Point","Lucknow","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,251.00,20.00,100.40,"ZOMX4BZ5","Festive Feast",12.55,183.15,3,2,2,"Food was okay, nothing special.","Neutral",NULL,NULL,NULL
100022,"2024-03-27","12:59:00",39,"Delivered","Net Banking",7931,"Ethan Bail","Kolkata",583,"Green Treats","Hyderabad","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,317.00,20.00,0.00,NULL,NULL,15.85,352.85,4,4,3,NULL,"Positive",28.80,33.50,"Cloudy"
100022,"2024-03-27","12:59:00",39,"Delivered","Net Banking",7931,"Ethan Bail","Kolkata",583,"Green Treats","Hyderabad","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,317.00,20.00,0.00,NULL,NULL,15.85,352.85,4,4,3,NULL,"Positive",32.30,8.60,"Humid"
100023,"2024-07-06","21:51:00",33,"Delivered","UPI",8823,"Ekiya Solanki","Raipur",558,"Tasty Cafe","Ludhiana","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,434.00,49.00,43.40,"ZOM56ERP","Late Night Cravings",21.70,461.30,5,4,5,"Great food and fast delivery!","Positive",27.60,90.90,"Rainy"
100024,"2023-12-07","13:22:00",38,"Delivered","Wallet",1928,"Krishna Kanda","Coimbatore",1186,"Tasty Kitchen","Chandigarh","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,762.00,0.00,0.00,NULL,NULL,38.10,800.10,NULL,NULL,NULL,NULL,NULL,28.90,210.00,"Clear"
100025,"2024-01-03","12:48:00",56,"Cancelled","Cash on Delivery",3501,"Yash Keer","Jaipur",684,"curry treats","Kochi","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,536.00,49.00,214.40,"ZOM6ELGA","First Order Free Delivery",26.80,397.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100026,"2023-11-12","08:02:00",23,"Cancelled","Debit Card",9549,"Manbir Pathak","Guwahati",243,"Tasty Grill","Vadodara","Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,172.00,0.00,0.00,NULL,NULL,8.60,180.60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100027,"2024-11-11","14:00:00",26,"Delivered","Debit Card",10246,"Omisha Mandal","Bengaluru",340,"Green Diner","Chandigarh","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,658.00,49.00,0.00,NULL,NULL,32.90,739.90,2,1,2,"Food arrived cold and late.","Negative",NULL,NULL,NULL
100028,"2024-01-31","19:27:00",44,"Delivered","Debit Card",11963,"Kevin Mistry","Guwahati",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,384.00,20.00,0.00,NULL,NULL,19.20,423.20,3,4,4,"Delivery was on time but food was mediocre.","Neutral",NULL,NULL,NULL
100029,"2023-12-12","12:28:00",51,"Cancelled","Debit Card",2314,"Reva Chaudhary","Lucknow",1185,"GOLDEN CORNER","Coimbatore","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,522.00,49.00,0.00,NULL,NULL,26.10,597.10,NULL,NULL,NULL,NULL,NULL,15.10,8.40,"Foggy"
100030,"2024-08-04","23:47:00",81,"Delivered Late","Net Banking",10418,"Luke Hayer","Bhopal",981,"The Point","Coimbatore","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,619.00,40.00,185.70,"ZOMMNANR","Payday Delight",30.95,504.25,3,4,4,"Delivery was on time but food was mediocre.","Neutral",40.40,0.00,"Clear"
100030,"2024-08-04","23:47:00",81,"Delivered Late","Net Banking",10418,"Luke Hayer","Bhopal",981,"The Point","Coimbatore","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,619.00,40.00,185.70,"ZOMMNANR","Payday Delight",30.95,504.25,3,4,4,"Delivery was on time but food was mediocre.","Neutral",25.00,32.80,"Clear"
100031,"2023-03-31","17:41:00",41,"Delivered","Cash on Delivery",623,"Tanveer Thakur","Raipur",413,"Royal Point","Indore","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,256.00,20.00,0.00,NULL,NULL,12.80,288.80,NULL,NULL,NULL,NULL,NULL,35.20,7.50,"Cloudy"
100032,"2023-03-07","21:49:00",20,"Delivered","Cash on Delivery",9445,"Yashoda Nori","Chennai",888,"Blue Bites","Nashik","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,430.00,30.00,0.00,NULL,NULL,21.50,481.50,2,2,2,"Quality was not up to the mark.","Negative",33.70,10.50,"Humid"
100033,"2023-11-17","17:02:00",42,"Delivered","Net Banking",4274,"Aachal Prabhu","Visakhapatnam",179,"The Point","Bhubaneswar","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,606.00,30.00,0.00,NULL,NULL,30.30,666.30,3,3,4,"Food was okay, nothing special.","Neutral",16.00,91.80,"Clear"
100034,"2023-03-22","01:28:00",31,"Cancelled","UPI",5139,"Nirja Bhalla","Bhubaneswar",93,"Blue Treats","Delhi","Street Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,387.00,25.00,0.00,NULL,NULL,19.35,431.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100035,"2023-07-13","15:17:00",35,"Cancelled","Credit Card",1085,"Rushil Joshi","Visakhapatnam",629,"Green Grill","Nagpur","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,188.00,30.00,0.00,NULL,NULL,9.40,227.40,NULL,NULL,NULL,NULL,NULL,23.10,18.80,"Stormy"
100036,"2023-07-26","13:26:00",25,"Cancelled","Wallet",2506,"Adya Rajagopalan","Nashik",369,"Urban Corner","Pune","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,454.00,25.00,181.60,"ZOMSN3JZ","App Exclusive Deal",22.70,320.10,NULL,NULL,NULL,NULL,NULL,26.70,17.60,"Clear"
100036,"2023-07-26","13:26:00",25,"Cancelled","Wallet",2506,"Adya Rajagopalan","Nashik",369,"Urban Corner","Pune","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,454.00,25.00,181.60,"ZOMSN3JZ","App Exclusive Deal",22.70,320.10,NULL,NULL,NULL,NULL,NULL,20.90,23.00,"Cloudy"
100037,"2024-12-29","20:33:00",23,"Food Not Delivered","Cash on Delivery",8496,"Oni Dar","Surat",801,"Royal Point","Kochi","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,565.00,0.00,141.25,"ZOMZCTTU","Festive Feast",28.25,452.00,3,4,3,NULL,"Neutral",13.50,4.10,"Clear"
100038,"2023-09-05","11:34:00",44,"Delivered","Wallet",8442,"Zarna Badami","Chandigarh",1057,"Urban Point","Bhopal","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,49.00,30.00,"ZOMJKHB4","App Exclusive Deal",3.00,82.00,4,3,3,"Packaging was excellent and food was hot.","Positive",26.70,0.00,"Clear"
100038,"2023-09-05","11:34:00",44,"Delivered","Wallet",8442,"Zarna Badami","Chandigarh",1057,"Urban Point","Bhopal","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,49.00,30.00,"ZOMJKHB4","App Exclusive Deal",3.00,82.00,4,3,3,"Packaging was excellent and food was hot.","Positive",35.50,138.30,"Clear"
100038,"2023-09-05","11:34:00",44,"Delivered","Wallet",8442,"Zarna Badami","Chandigarh",1057,"Urban Point","Bhopal","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,49.00,30.00,"ZOMJKHB4","App Exclusive Deal",3.00,82.00,4,3,3,"Packaging was excellent and food was hot.","Positive",26.20,205.50,"Clear"
100039,"2023-10-06","18:08:00",32,"Delivered","Credit Card",467,"Chavvi Kannan","Mumbai",1106,"Curry Cafe","Kolkata","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,315.00,40.00,0.00,NULL,NULL,15.75,370.75,3,4,2,NULL,"Neutral",24.10,1.40,"Foggy"
100040,"2024-09-07","14:57:00",17,"Cancelled","Credit Card",5398,"Radha Mukherjee","Delhi",1195,"Tasty Cafe","Raipur","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,245.00,49.00,122.50,"ZOM655YP","Late Night Cravings",12.25,183.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100041,"2024-08-07","13:57:00",45,"Delivered Late","Net Banking",4604,"Isaiah Khosla","Ludhiana",436,"Spicy Kitchen","Indore","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,580.00,49.00,116.00,"ZOMH1BSF","Monsoon Munchies",29.00,542.00,NULL,NULL,NULL,NULL,NULL,26.40,669.60,"Foggy"
100041,"2024-08-07","13:57:00",45,"Delivered Late","Net Banking",4604,"Isaiah Khosla","Ludhiana",436,"Spicy Kitchen","Indore","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,580.00,49.00,116.00,"ZOMH1BSF","Monsoon Munchies",29.00,542.00,NULL,NULL,NULL,NULL,NULL,26.30,0.00,"Rainy"
100042,"2023-06-23","20:06:00",42,"Food Not Delivered","Debit Card",7298,"Damini Dugar","Surat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,645.00,25.00,161.25,"ZOM2FMG4","Republic Day Offer",32.25,541.00,4,3,3,"Packaging was excellent and food was hot.","Positive",NULL,NULL,NULL
100043,"2024-04-22","19:09:00",23,"Delivered","UPI",11915,"Aashi Merchant","Hyderabad",974,"Curry Treats","Nashik","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,329.00,49.00,0.00,NULL,NULL,16.45,394.45,2,2,2,"Wrong item delivered.","Negative",40.60,0.00,"Clear"
100043,"2024-04-22","19:09:00",23,"Delivered","UPI",11915,"Aashi Merchant","Hyderabad",974,"Curry Treats","Nashik","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,329.00,49.00,0.00,NULL,NULL,16.45,394.45,2,2,2,"Wrong item delivered.","Negative",38.40,0.00,"Rainy"
100044,"2024-11-16","14:21:00",21,"Delivered","UPI",4547,"Bhavani Jani","Ahmedabad",831,"Spicy Diner","Jaipur","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,262.00,49.00,0.00,NULL,NULL,13.10,324.10,5,5,5,"Great food and fast delivery!","Positive",NULL,NULL,NULL
100045,"2023-06-17","19:51:00",35,"Delivered","Debit Card",1182,"Krisha Mammen","New Delhi",1169,"Curry Grill","Kolkata","Burgers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,713.00,30.00,0.00,NULL,NULL,35.65,778.65,5,5,4,"Great food and fast delivery!","Positive",31.00,0.00,"Clear"
100046,"2023-04-04","21:44:00",21,"Delivered","Debit Card",2027,"Krishna Sandhu","Visakhapatnam",316,"Golden Hub","Bhubaneswar","North Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,564.00,20.00,112.80,"ZOMSNVD3","Mega Cashback Week",28.20,499.40,4,5,3,"Best biryani in town!","Positive",34.60,0.00,"Rainy"
100047,"2024-03-16","11:08:00",45,"Delivered","Net Banking",1157,"Tanay Chatterjee","New Delhi",763,"Golden Corner","Nagpur","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,408.00,49.00,163.20,"ZOMVWX7M","Festive Feast",20.40,314.20,1,1,2,"Order was incomplete.","Negative",35.30,0.50,"Foggy"
100047,"2024-03-16","11:08:00",45,"Delivered","Net Banking",1157,"Tanay Chatterjee","New Delhi",763,"Golden Corner","Nagpur","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,408.00,49.00,163.20,"ZOMVWX7M","Festive Feast",20.40,314.20,1,1,2,"Order was incomplete.","Negative",30.40,13.20,"Clear"
100048,"2024-04-26","23:37:00",44,"Delivered","Wallet",2852,"Wishi Patla","Bhopal",401,"grand bites","Lucknow","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,326.00,30.00,0.00,NULL,NULL,16.30,372.30,3,3,2,"Delivery was on time but food was mediocre.","Neutral",31.60,0.00,"Foggy"
100048,"2024-04-26","23:37:00",44,"Delivered","Wallet",2852,"Wishi Patla","Bhopal",401,"grand bites","Lucknow","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,326.00,30.00,0.00,NULL,NULL,16.30,372.30,3,3,2,"Delivery was on time but food was mediocre.","Neutral",31.80,1.70,"Rainy"
100049,"2024-06-15","06:12:00",20,"Food Not Delivered","Wallet",11748,"Ishaan Rout","Kochi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206.00,25.00,103.00,"ZOM5HQ3L","Great Indian Food Fest",10.30,138.30,5,5,4,"Delivery partner was very polite.","Positive",NULL,NULL,NULL
100050,"2023-04-15","10:22:00",30,"Delivered","Credit Card",4891,"Yochana Lalla","Delhi",943,"Golden Grill","Pune","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,440.00,40.00,0.00,NULL,NULL,22.00,502.00,2,1,2,"Food arrived cold and late.","Negative",NULL,NULL,NULL
100051,"2023-09-05","19:03:00",14,"Delivered","Cash on Delivery",5048,"Oviya Bassi","Lucknow",1001,"Grand Point","Chennai","BBQ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,482.00,25.00,0.00,NULL,NULL,24.10,NULL,4,4,3,"Loved the taste, will order again.","Positive",NULL,NULL,NULL
100052,"2024-09-24","16:47:00",59,"Delivered","Cash on Delivery",11044,"Mahika Raghavan","Delhi",330,"Grand Corner","Hyderabad","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,493.00,40.00,0.00,NULL,NULL,24.65,557.65,NULL,5,4,"Great food and fast delivery!","Positive",21.10,0.00,"Humid"
100052,"2024-09-24","16:47:00",59,"Delivered","Cash on Delivery",11044,"Mahika Raghavan","Delhi",330,"Grand Corner","Hyderabad","Biryani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,493.00,40.00,0.00,NULL,NULL,24.65,557.65,NULL,5,4,"Great food and fast delivery!","Positive",26.10,0.00,"Clear"
100053,"2024-09-24","13:19:00",34,"Cancelled","Net Banking",6754,"Aadhya Viswanathan","Lucknow",73,"The Corner","Kochi","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,376.00,30.00,112.80,"ZOM2977W","Mega Cashback Week",18.80,312.00,NULL,NULL,NULL,NULL,NULL,33.90,0.00,"Foggy"
100053,"2024-09-24","13:19:00",34,"Cancelled","Net Banking",6754,"Aadhya Viswanathan","Lucknow",73,"The Corner","Kochi","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,376.00,30.00,112.80,"ZOM2977W","Mega Cashback Week",18.80,312.00,NULL,NULL,NULL,NULL,NULL,31.20,20.70,"Cloudy"
100054,"2024-10-27","13:05:00",15,"Delivered","Net Banking",3263,"Elijah Bhattacharyya","Ludhiana",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408.00,25.00,0.00,NULL,NULL,20.40,453.40,5,5,5,"Loved the taste, will order again.","Positive",NULL,NULL,NULL
100055,"2023-09-07","09:48:00",17,"Delivered","Net Banking",5147,"Dhriti Arora","Delhi",734,"Grand Point","Ahmedabad","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,448.00,40.00,67.20,"ZOM9RSYX","Late Night Cravings",22.40,443.20,5,5,4,"Loved the taste, will order again.","Positive",31.30,0.00,"Clear"
100055,"2023-09-07","09:48:00",17,"Delivered","Net Banking",5147,"Dhriti Arora","Delhi",734,"Grand Point","Ahmedabad","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,448.00,40.00,67.20,"ZOM9RSYX","Late Night Cravings",22.40,443.20,5,5,4,"Loved the taste, will order again.","Positive",33.50,122.70,"Clear"
100056,"2023-07-21","18:22:00",46,"Delivered","Debit Card",1768,"Gayathri Peri","Raipur",376,"Golden House","Nashik","Chinese",NULL,NULL,NULL,NULL,NULL,NULL,NULL,311.00,20.00,0.00,NULL,NULL,15.55,346.55,3,2,4,"Average experience.","Neutral",NULL,NULL,NULL
100057,"2023-03-10","10:13:00",39,"Delivered","Debit Card",5211,"Gaurika Khanna","Delhi",296,"Golden Treats","Nashik","Pizza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,262.00,40.00,52.40,"ZOMPD2W4","New User Special",13.10,262.70,3,2,4,"Food was okay, nothing special.","Neutral",37.60,6.70,"Humid"
100058,"2024-03-22","14:17:00",36,"Cancelled","Net Banking",1195,"Sathvik Barad","Patna",327,"Urban Point","Visakhapatnam","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,542.00,40.00,0.00,NULL,NULL,27.10,609.10,NULL,NULL,NULL,NULL,NULL,33.70,1.70,"Clear"
100058,"2024-03-22","14:17:00",36,"Cancelled","Net Banking",1195,"Sathvik Barad","Patna",327,"Urban Point","Visakhapatnam","Italian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,542.00,40.00,0.00,NULL,NULL,27.10,609.10,NULL,NULL,NULL,NULL,NULL,27.40,0.00,"Foggy"
100059,"2024-10-10","13:32:00",30,"Delivered","Net Banking",10138,"Faqid Gokhale","Bengaluru",654,"Spicy House","Pune","Sushi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,160.00,40.00,48.00,"ZOMHEH0W","Late Night Cravings",8.00,160.00,2,2,2,"Wrong item delivered.","Negative",22.20,0.00,"Clear"
100060,"2024-05-06","19:04:00",13,"Delivered","Credit Card",8834,"jatin bala","Indore",660,"Urban Kitchen","Lucknow","Fast Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,693.00,30.00,0.00,NULL,NULL,34.65,757.65,1,2,2,"Food arrived cold and late.","Negative",33.50,9.60,"Cloudy"
100061,"2023-07-06","08:36:00",28,"Cancelled","Credit Card",9890,"Tarak Lanka","Coimbatore",405,"Royal Corner","Pune","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,335.00,0.00,0.00,NULL,NULL,16.75,351.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100062,"2023-04-06","20:58:00",41,"Cancelled","UPI",5855,"Abeer Nath","Coimbatore",465,"Royal Cafe","Jaipur","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,399.00,25.00,0.00,NULL,NULL,19.95,443.95,NULL,NULL,NULL,NULL,NULL,29.90,20.00,"Clear"
100062,"2023-04-06","20:58:00",41,"Cancelled","UPI",5855,"Abeer Nath","Coimbatore",465,"Royal Cafe","Jaipur","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,399.00,25.00,0.00,NULL,NULL,19.95,443.95,NULL,NULL,NULL,NULL,NULL,36.80,0.00,"Cloudy"
100062,"2023-04-06","20:58:00",41,"Cancelled","UPI",5855,"Abeer Nath","Coimbatore",465,"Royal Cafe","Jaipur","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,399.00,25.00,0.00,NULL,NULL,19.95,443.95,NULL,NULL,NULL,NULL,NULL,31.30,9.40,"Clear"
